PEOPLE	NOUN	PEOPLE
XX	NUM	xx
A	DET	a
NIGHT	NOUN	night
ADVENTURE	NOUN	adventure
ON	ADP	on
THE	DET	the
RIVER	NOUN	river
199	NUM	199
XXI	NOUN	xxi
PLOT	NOUN	plot
AND	CCONJ	and
COUNTERPLOT	NOUN	counterplot
207	NUM	207
XXII	X	xxii
READY	VERB	ready
216	NUM	216
XXIII	NUM	xxiii
ON	ADP	on
THE	DET	the
_	NOUN	_
RAMPALLO	NOUN	rampallo
_	X	_
226	NUM	226
XXIV	NUM	xxiv
A	DET	a
TIGHT	NOUN	tight
CORNER	NOUN	corner
235	NUM	235
XXV	NUM	xxv
ILL	NOUN	ill
NEWS	NOUN	news
244	NUM	244
XXVI	NUM	xxvi
IN	ADP	in
SIGHT	NOUN	sight
OF	ADP	of
VICTORY	NOUN	victory
253	NUM	253
XXVII	NUM	xxvii
DR	PROPN	DR
.	PROPN	.
BAROSA	PROPN	BAROSA
SCORES	VERB	score
263	NUM	263
XXVIII	X	xxviii
“	PUNCT	""""
YOU	PRON	you
SHALL	AUX	shall
DIE	VERB	die
”	PUNCT	""""
272	NUM	272
XXIX	NUM	xxix
MIRALDA	PROPN	MIRALDA
'S	PART	's
APPEAL	PROPN	APPEAL
280	NUM	280
XXX	NUM	xxx
