GRAY	PROPN	GRAY
in	ADP	in
a	DET	a
space	NOUN	space
of	ADP	of
minutes	NOUN	minute
any	DET	any
other	ADJ	other
who	PRON	who
touches	VERB	touch
it	PRON	it
,	PUNCT	,
so	ADV	so
strongly	ADV	strongly
does	AUX	do
its	PRON	its
pseudolife	NOUN	pseudolife
interfere	VERB	interfere
with	ADP	with
any	DET	any
life	NOUN	life
to	PART	to
which	DET	which
it	PRON	it
is	AUX	be
not	PART	not
attuned	VERB	attune
.	PUNCT	.
Also	ADV	also
by	ADP	by
virtue	NOUN	virtue
of	ADP	of
that	DET	that
pseudolife	NOUN	pseudolife
the	DET	the
Lens	PROPN	Lens
acts	VERB	act
as	ADP	as
a	DET	a
telepath	NOUN	telepath
through	ADP	through
which	DET	which
its	PRON	its
owner	NOUN	owner
may	AUX	may
communicate	VERB	communicate
with	ADP	with
any	DET	any
other	ADJ	other
intelligence	NOUN	intelligence
,	PUNCT	,
high	ADJ	high
or	CCONJ	or
low	ADJ	low
;	PUNCT	;
even	ADV	even
though	SCONJ	though
the	DET	the
other	ADJ	other
entity	NOUN	entity
may	AUX	may
