Proofreaders	NOUN	proofreader
greeted	VERB	greet
me	PRON	I
with	ADP	with
warmth	NOUN	warmth
,	PUNCT	,
muttering	VERB	mutter
at	ADP	at
the	DET	the
same	ADJ	same
time	NOUN	time
some	DET	some
commonplace	NOUN	commonplace
about	ADP	about
his	PRON	his
'	PUNCT	'
pleasure	NOUN	pleasure
'	PUNCT	'
and	CCONJ	and
the	DET	the
'	PUNCT	'
unexpectedness	NOUN	unexpectedness
'	PUNCT	'
of	ADP	of
my	PRON	my
visit	NOUN	visit
.	PUNCT	.
He	PRON	he
then	ADV	then
gave	VERB	give
orders	NOUN	order
to	ADP	to
Ham	PROPN	Ham
to	PART	to
prepare	VERB	prepare
me	PRON	I
a	DET	a
bed	NOUN	bed
in	ADP	in
one	NUM	one
of	ADP	of
the	DET	the
adjoining	ADJ	adjoining
chambers	NOUN	chamber
.	PUNCT	.
We	PRON	we
passed	VERB	pass
the	DET	the
greater	ADJ	great
part	NOUN	part
of	ADP	of
the	DET	the
night	NOUN	night
in	ADP	in
a	DET	a
delightful	ADJ	delightful
stream	NOUN	stream
of	ADP	of
that	DET	that
somnolent	ADJ	somnolent
and	CCONJ	and
half	ADJ	half
-	PUNCT	-
mystic	ADJ	mystic
talk	NOUN	talk
which	DET	which
Prince	PROPN	Prince
Zaleski	PROPN	Zaleski
alone	ADV	alone
could	AUX	could
initiate	VERB	initiate
and	CCONJ	and
sustain	VERB	sustain
,	PUNCT	,
during	ADP	during
which	DET	which
he	PRON	he
repeatedly	ADV	repeatedly
pressed	VERB	press
on	ADP	on
me	PRON	I
a	DET	a
concoction	NOUN	concoction
of	ADP	of
Indian	ADJ	indian
hemp	NOUN	hemp
resembling	VERB	resemble
_	X	_
hashish	NOUN	hashish
_	X	_
,	PUNCT	,
prepared	VERB	prepare
by	ADP	by
his	PRON	his
own	ADJ	own
hands	NOUN	hand
,	PUNCT	,
and	CCONJ	and
quite	ADV	quite
innocuous	ADJ	innocuous
.	PUNCT	.
It	PRON	it
was	AUX	be
after	ADP	after
a	DET	a
simple	NOUN	simple
breakfast	NOUN	breakfast
the	DET	the
next	ADJ	next
morning	NOUN	morning
that	SCONJ	that
I	PRON	I
entered	VERB	enter
on	ADP	on
the	DET	the
subject	NOUN	subject
which	DET	which
was	AUX	be
partly	ADV	partly
the	DET	the
occasion	NOUN	occasion
of	ADP	of
my	PRON	my
visit	NOUN	visit
.	PUNCT	.
He	PRON	he
lay	VERB	lie
back	ADV	back
on	ADP	on
his	PRON	his
couch	NOUN	couch
,	PUNCT	,
volumed	VERB	volume
in	ADP	in
a	DET	a
Turkish	ADJ	turkish
_	X	_
beneesh	X	beneesh
_	X	_
,	PUNCT	,
and	CCONJ	and
listened	VERB	listen
to	ADP	to
me	PRON	I
,	PUNCT	,
a	DET	a
little	ADJ	little
wearily	ADV	wearily
perhaps	ADV	perhaps
at	ADP	at
first	ADV	first
,	PUNCT	,
with	ADP	with
woven	VERB	weave
fingers	NOUN	finger
,	PUNCT	,
and	CCONJ	and
the	DET	the
pale	ADJ	pale
inverted	ADJ	inverted
eyes	NOUN	eye
of	ADP	of
old	ADJ	old
