ROBUR	X	robur
observation	NOUN	observation
;	PUNCT	;
in	ADP	in
the	DET	the
meteorological	ADJ	meteorological
section	NOUN	section
there	PRON	there
had	AUX	have
been	AUX	be
no	DET	no
record	NOUN	record
;	PUNCT	;
in	ADP	in
the	DET	the
calculating	VERB	calculate
room	NOUN	room
they	PRON	they
had	AUX	have
had	AUX	have
nothing	PRON	nothing
to	PART	to
deal	VERB	deal
with	ADP	with
.	PUNCT	.
At	ADP	at
any	DET	any
rate	NOUN	rate
this	DET	this
confession	NOUN	confession
was	AUX	be
a	DET	a
frank	ADJ	frank
one	NUM	one
,	PUNCT	,
and	CCONJ	and
the	DET	the
same	ADJ	same
frankness	NOUN	frankness
characterized	VERB	characterize
the	DET	the
replies	NOUN	reply
from	ADP	from
the	DET	the
observatory	NOUN	observatory
of	ADP	of
Montsouris	PROPN	Montsouris
and	CCONJ	and
the	DET	the
magnetic	ADJ	magnetic
station	NOUN	station
in	ADP	in
the	DET	the
park	NOUN	park
of	ADP	of
St.	PROPN	St.
Maur	PROPN	Maur
.	PUNCT	.
The	DET	the
same	ADJ	same
respect	NOUN	respect
for	ADP	for
the	DET	the
truth	NOUN	truth
distinguished	VERB	distinguish
the	DET	the
Bureau	PROPN	Bureau
des	X	des
Longitudes	PROPN	Longitudes
.	PUNCT	.
The	DET	the
provinces	NOUN	province
were	AUX	be
slightly	ADV	slightly
more	ADV	more
affirmative	ADJ	affirmative
.	PUNCT	.
Perhaps	ADV	perhaps
in	ADP	in
the	DET	the
night	NOUN	night
of	ADP	of
the	DET	the
fifth	ADJ	fifth
and	CCONJ	and
the	DET	the
morning	NOUN	morning
of	ADP	of
the	DET	the
sixth	ADJ	sixth
of	ADP	of
May	PROPN	May
there	PRON	there
had	AUX	have
appeared	VERB	appear
a	DET	a
flash	NOUN	flash
of	ADP	of
light	NOUN	light
of	ADP	of
electrical	ADJ	electrical
origin	NOUN	origin
which	DET	which
lasted	VERB	last
about	ADP	about
twenty	NUM	twenty
seconds	NOUN	second
.	PUNCT	.
At	ADP	at
the	DET	the
Pic	PROPN	Pic
du	X	du
Midi	PROPN	Midi
this	DET	this
light	NOUN	light
appeared	VERB	appear
between	ADP	between
nine	NUM	nine
and	CCONJ	and
ten	NUM	ten
in	ADP	in
the	DET	the
evening	NOUN	evening
.	PUNCT	.
At	ADP	at
the	DET	the
Meteorological	PROPN	Meteorological
Observatory	PROPN	Observatory
on	ADP	on
the	DET	the
Puy	PROPN	Puy
de	X	de
Dome	PROPN	Dome
the	DET	the
light	NOUN	light
had	AUX	have
been	AUX	be
observed	VERB	observe
between	ADP	between
one	NUM	one
and	CCONJ	and
two	NUM	two
o'clock	NOUN	o'clock
in	ADP	in
the	DET	the
morning	NOUN	morning
;	PUNCT	;
at	ADP	at
Mont	PROPN	Mont
Ventoux	PROPN	Ventoux
in	ADP	in
Provence	PROPN	Provence
it	PRON	it
had	AUX	have
been	AUX	be
seen	VERB	see
between	ADP	between
two	NUM	two
and	CCONJ	and
three	NUM	three
o'clock	NOUN	o'clock
;	PUNCT	;
at	ADP	at
Nice	PROPN	Nice
it	PRON	it
had	AUX	have
been	AUX	be
noticed	VERB	notice
between	ADP	between
three	NUM	three
and	CCONJ	and
four	NUM	four
o'clock	NOUN	o'clock
;	PUNCT	;
while	SCONJ	while
at	ADP	at
the	DET	the
Semnoz	PROPN	Semnoz
Alps	PROPN	Alps
between	ADP	between
Annecy	PROPN	Annecy
,	PUNCT	,
Le	PROPN	Le
Bourget	PROPN	Bourget
,	PUNCT	,
and	CCONJ	and
Le	PROPN	Le
Léman	PROPN	Léman
,	PUNCT	,
it	PRON	it
had	AUX	have
been	AUX	be
detected	VERB	detect
just	ADV	just
as	ADP	as
the	DET	the
zenith	NOUN	zenith
was	AUX	be
paling	VERB	pale
with	ADP	with
the	DET	the
dawn	NOUN	dawn
.	PUNCT	.
Now	ADV	now
it	PRON	it
evidently	ADV	evidently
would	AUX	would
not	PART	not
do	AUX	do
to	PART	to
disregard	VERB	disregard
these	DET	these
observations	NOUN	observation
altogether	ADV	altogether
.	PUNCT	.
There	PRON	there
could	AUX	could
be	AUX	be
no	DET	no
doubt	NOUN	doubt
that	SCONJ	that
a	DET	a
light	NOUN	light
had	AUX	have
been	AUX	be
observed	VERB	observe
at	ADP	at
different	ADJ	different
places	NOUN	place
,	PUNCT	,
in	ADP	in
succession	NOUN	succession
,	PUNCT	,
at	ADP	at
intervals	NOUN	interval
,	PUNCT	,
during	ADP	during
some	DET	some
hours	NOUN	hour
.	PUNCT	.
Hence	ADV	hence
,	PUNCT	,
whether	SCONJ	whether
it	PRON	it
had	AUX	have
been	AUX	be
produced	VERB	produce
from	ADP	from
many	ADJ	many
centers	NOUN	center
in	ADP	in
the	DET	the
terrestrial	ADJ	terrestrial
atmosphere	NOUN	atmosphere
,	PUNCT	,
or	CCONJ	or
from	ADP	from
one	NUM	one
center	NOUN	center
