Twenty	NUM	twenty
_	PUNCT	_
exist	VERB	exist
was	AUX	be
an	DET	an
undeniable	ADJ	undeniable
fact	NOUN	fact
;	PUNCT	;
and	CCONJ	and
,	PUNCT	,
with	ADP	with
that	DET	that
tendency	NOUN	tendency
which	DET	which
disposes	VERB	dispose
the	DET	the
human	ADJ	human
mind	NOUN	mind
in	ADP	in
favour	NOUN	favour
of	ADP	of
the	DET	the
marvellous	ADJ	marvellous
,	PUNCT	,
we	PRON	we
can	AUX	can
understand	VERB	understand
the	DET	the
excitement	NOUN	excitement
produced	VERB	produce
in	ADP	in
the	DET	the
entire	ADJ	entire
world	NOUN	world
by	ADP	by
this	DET	this
supernatural	ADJ	supernatural
apparition	NOUN	apparition
.	PUNCT	.
As	ADP	as
to	ADP	to
classing	VERB	class
it	PRON	it
in	ADP	in
the	DET	the
list	NOUN	list
of	ADP	of
fables	NOUN	fable
,	PUNCT	,
the	DET	the
idea	NOUN	idea
was	AUX	be
out	ADP	out
of	ADP	of
the	DET	the
question	NOUN	question
.	PUNCT	.
On	ADP	on
the	DET	the
20th	NOUN	20th
of	ADP	of
July	PROPN	July
,	PUNCT	,
1866	NUM	1866
,	PUNCT	,
the	DET	the
steamer	NOUN	steamer
_	PROPN	_
Governor	PROPN	Governor
Higginson	PROPN	Higginson
_	PUNCT	_
,	PUNCT	,
of	ADP	of
the	DET	the
Calcutta	PROPN	Calcutta
and	CCONJ	and
Burnach	PROPN	Burnach
Steam	PROPN	Steam
Navigation	PROPN	Navigation
Company	PROPN	Company
,	PUNCT	,
had	AUX	have
met	VERB	meet
this	DET	this
moving	VERB	move
mass	NOUN	mass
five	NUM	five
miles	NOUN	mile
off	ADP	off
the	DET	the
east	ADJ	east
coast	NOUN	coast
of	ADP	of
Australia	PROPN	Australia
.	PUNCT	.
Captain	PROPN	Captain
Baker	PROPN	Baker
thought	VERB	think
at	ADP	at
first	ADV	first
that	SCONJ	that
he	PRON	he
was	AUX	be
in	ADP	in
the	DET	the
presence	NOUN	presence
of	ADP	of
an	DET	an
unknown	ADJ	unknown
sandbank	NOUN	sandbank
;	PUNCT	;
he	PRON	he
even	ADV	even
prepared	VERB	prepare
to	PART	to
determine	VERB	determine
its	PRON	its
exact	ADJ	exact
position	NOUN	position
,	PUNCT	,
when	SCONJ	when
two	NUM	two
columns	NOUN	column
of	ADP	of
water	NOUN	water
,	PUNCT	,
projected	VERB	project
by	ADP	by
the	DET	the
inexplicable	ADJ	inexplicable
object	NOUN	object
,	PUNCT	,
shot	VERB	shoot
with	ADP	with
a	DET	a
hissing	VERB	hiss
noise	NOUN	noise
a	DET	a
hundred	NUM	hundred
and	CCONJ	and
fifty	NUM	fifty
feet	NOUN	foot
up	ADV	up
into	ADP	into
the	DET	the
air	NOUN	air
.	PUNCT	.
Now	ADV	now
,	PUNCT	,
unless	SCONJ	unless
the	DET	the
sandbank	NOUN	sandbank
had	AUX	have
been	AUX	be
submitted	VERB	submit
to	ADP	to
the	DET	the
intermittent	ADJ	intermittent
eruption	NOUN	eruption
of	ADP	of
a	DET	a
geyser	NOUN	geyser
,	PUNCT	,
the	DET	the
_	SYM	_
Governor	PROPN	Governor
Higginson	PROPN	Higginson
_	PUNCT	_
had	AUX	have
to	PART	to
do	AUX	do
neither	CCONJ	neither
more	ADV	more
nor	CCONJ	nor
less	ADV	less
than	ADP	than
with	ADP	with
an	DET	an
aquatic	ADJ	aquatic
mammal	NOUN	mammal
,	PUNCT	,
unknown	ADJ	unknown
till	SCONJ	till
then	ADV	then
,	PUNCT	,
which	DET	which
threw	VERB	throw
up	ADP	up
from	ADP	from
its	PRON	its
blow	NOUN	blow
-	PUNCT	-
holes	NOUN	hole
columns	NOUN	column
of	ADP	of
water	NOUN	water
mixed	VERB	mix
with	ADP	with
air	NOUN	air
and	CCONJ	and
vapour	NOUN	vapour
.	PUNCT	.
Similar	ADJ	similar
facts	NOUN	fact
were	AUX	be
observed	VERB	observe
on	ADP	on
the	DET	the
23rd	NOUN	23rd
of	ADP	of
July	PROPN	July
in	ADP	in
the	DET	the
same	ADJ	same
year	NOUN	year
,	PUNCT	,
in	ADP	in
the	DET	the
Pacific	PROPN	Pacific
Ocean	PROPN	Ocean
,	PUNCT	,
by	ADP	by
the	DET	the
_	PUNCT	_
Columbus	PROPN	Columbus
_	PUNCT	_
,	PUNCT	,
of	ADP	of
the	DET	the
West	PROPN	West
India	PROPN	India
and	CCONJ	and
Pacific	PROPN	Pacific
Steam	PROPN	Steam
Navigation	PROPN	Navigation
Company	PROPN	Company
.	PUNCT	.
But	CCONJ	but
this	DET	this
extraordinary	ADJ	extraordinary
cetaceous	ADJ	cetaceous
creature	NOUN	creature
could	AUX	could
transport	VERB	transport
itself	PRON	itself
from	ADP	from
one	NUM	one
place	NOUN	place
to	ADP	to
another	DET	another
with	ADP	with
surprising	ADJ	surprising
velocity	NOUN	velocity
;	PUNCT	;
as	ADP	as
,	PUNCT	,
in	ADP	in
an	DET	an
interval	NOUN	interval
of	ADP	of
three	NUM	three
days	NOUN	day
,	PUNCT	,
the	DET	the
_	PUNCT	_
Governor	PROPN	Governor
Higginson	PROPN	Higginson
_	PUNCT	_
and	CCONJ	and
the	DET	the
_	PUNCT	_
Columbus	PROPN	Columbus
_	PUNCT	_
had	AUX	have
observed	VERB	observe
it	PRON	it
at	ADP	at
two	NUM	two
different	ADJ	different
points	NOUN	point
of	ADP	of
the	DET	the
chart	NOUN	chart
,	PUNCT	,
separated	VERB	separate
by	ADP	by
a	DET	a
distance	NOUN	distance
of	ADP	of
more	ADJ	more
than	ADP	than
seven	NUM	seven
hundred	NUM	hundred
nautical	ADJ	nautical
leagues	NOUN	league
.	PUNCT	.
Fifteen	NUM	fifteen
days	NOUN	day
