id	title	author	authoryearofbirth	authoryearofdeath	subgenre	historical	scifi	lovestory	detective	downloads	type	subjects	language	length
PG62321	The Flame Breathers	Cummings, Ray	1887	1957	scifi	no	yes	no	no	40	Text	{'Outer space -- Exploration -- Fiction', 'Adventure stories', 'Human-alien encounters -- Fiction', 'Mines and mineral resources -- Fiction', 'Science fiction'}	['en']	16229
PG63494	Keeper of the Deathless Sleep	dePina, Albert		1957	scifi	no	yes	no	no	31	Text	{'Science fiction', 'War stories'}	['en']	16318
PG29135	With the Night Mail: A Story of 2000 A.D.: (Together with extracts from the comtemporary magazine in which it appeared)	Kipling, Rudyard	1865	1936	scifi	no	yes	no	no	377	Text	{'Science fiction', 'Aeronautics -- Fiction'}	['en']	16398
PG1835	The Case of the Pool of Blood in the Pastor's Study	Groner, Auguste	1850	1929	detective	no	no	no	yes	38	Text	{'Detective and mystery stories', 'Fiction'}	['en']	16541
PG20659	Ministry of Disturbance	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	77	Text	{'Science fiction'}	['en']	16553
PG3956	L'Abbe Constantin — Volume 3	Halévy, Ludovic	1834	1908	lovestory	no	no	yes	no	11	Text	{'Love stories', 'Clergy -- France -- Fiction', 'Catholic Church -- Clergy -- Fiction', 'France -- Social life and customs -- 19th century -- Fiction'}	['en']	16575
PG63885	The Little Monsters Come	Cummings, Ray	1887	1957	scifi	no	yes	no	no	56	Text	{'Adventure stories', 'Science fiction', 'Abduction -- Fiction', 'Human-alien encounters -- Fiction'}	['en']	16632
PG19194	Rebel Raider	Piper, H. Beam	1904	1964	historical	yes	no	no	no	75	Text	{'United States -- History -- Civil War, 1861-1865 -- Fiction', 'Mosby, John Singleton, 1833-1916 -- Fiction', 'Historical fiction'}	['en']	17004
PG63189	Highwayman of the Void	Wylie, Dirk	1920	1949	scifi	no	yes	no	no	77	Text	{'Outlaws -- Fiction', 'Adventure stories', 'Science fiction', 'Pluto (Dwarf planet) -- Fiction'}	['en']	17139
PG3954	L'Abbe Constantin — Volume 1	Halévy, Ludovic	1834	1908	lovestory	no	no	yes	no	17	Text	{'Love stories', 'Clergy -- France -- Fiction', 'Catholic Church -- Clergy -- Fiction', 'France -- Social life and customs -- 19th century -- Fiction'}	['en']	17140
PG29481	The Fifth String	Sousa, John Philip	1854	1932	lovestory	no	no	yes	no	49	Text	{'Love stories', 'Violinists -- Fiction'}	['en']	17426
PG3180	A Double Barrelled Detective Story	Twain, Mark	1835	1910	detective	no	no	no	yes	159	Text	{'Detective and mystery stories', 'American fiction -- 20th century'}	['en']	17435
PG67146	The Man Who Saved the Earth	Hall, Austin	1882	1933	scifi	no	yes	no	no	42	Text	{'Earth (Planet) -- Fiction', 'Science fiction'}	['en']	17502
PG60695	The Night of Hoggy Darn	McKenna, Richard	1913	1964	scifi	no	yes	no	no	52	Text	{'Space colonies -- Fiction', 'Science fiction'}	['en']	17684
PG26941	Wanted—7 Fearless Engineers!	Tremaine, Frederick Orlin	1899	1956	scifi	no	yes	no	no	24	Text	{'Science fiction'}	['en']	18001
PG41188	Narcissa, or the Road to Rome; In Verona	Richards, Laura Elizabeth Howe	1850	1943	lovestory	no	no	yes	no	31	Text	{'Love stories', 'Maine -- Social life and customs -- Fiction', 'Country life -- Fiction'}	['en']	18068
PG32108	The Ego Machine	Kuttner, Henry	1915	1958	scifi	no	yes	no	no	112	Text	{'Science fiction'}	['en']	18389
PG19445	Omnilingual	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	285	Text	{'Science fiction'}	['en']	18522
PG38663	The Affair at the Semiramis Hotel	Mason, A. E. W. (Alfred Edward Woodley)	1865	1948	detective	no	no	no	yes	42	Text	{'London (England) -- Fiction', 'Detective and mystery stories', 'Jewelry theft -- Fiction'}	['en']	18562
PG21970	The Scarlet Plague	London, Jack	1876	1916	scifi	no	yes	no	no	525	Text	{'Epidemics -- Fiction', 'Science fiction', 'Regression (Civilization) -- Fiction', 'End of the world -- Fiction'}	['en']	18567
PG19076	Naudsonce	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	105	Text	{'Science fiction', 'Human-alien encounters -- Fiction'}	['en']	18724
PG324	A Knight of the Cumberland	Fox, John, Jr.	1862	1919	historical	yes	no	no	no	54	Text	{'Country life -- Fiction', 'Kentucky -- Fiction', 'Historical fiction'}	['en']	18753
PG14835	The Burglar and the Blizzard: A Christmas Story	Miller, Alice Duer	1874	1942	lovestory	no	no	yes	no	76	Text	{'Christmas stories', 'Country homes -- Fiction', 'Burglars -- Fiction', 'Love stories', 'Rich people -- Fiction', 'Siblings -- Fiction'}	['en']	18764
PG32439	The Doctor, his Wife, and the Clock	Green, Anna Katharine	1846	1935	detective	no	no	no	yes	69	Text	{'Detective and mystery stories', 'Fiction'}	['en']	18816
PG62416	Juggernaut of Space	Cummings, Ray	1887	1957	scifi	no	yes	no	no	56	Text	{'Radio broadcasting -- Fiction', 'Adventure stories', 'Asteroids -- Fiction', 'Abduction -- Fiction', 'Human-alien encounters -- Fiction', 'Science fiction'}	['en']	18929
PG13146	The Beauty and the Bolshevist	Miller, Alice Duer	1874	1942	lovestory	no	no	yes	no	87	Text	{'Love stories', 'Socialists -- Fiction', 'Children of the rich -- Fiction', 'Newport (R.I.) -- Fiction'}	['en']	18951
